chunk_id,doc_id,title,path,char_count,word_count,preview
readme_chunk_001,readme,🎯 Tổng quan,README.md,260,57,"""Nếu bạn không thể đo lường nó, bạn không thể cải thiện nó."" — Nhiệm vụ của nhóm bạn là xây dựng một **Hệ thống đánh giá tự động** chuyên nghiệp để benchmark AI Agent. Hệ thống này"
readme_chunk_002,readme,🕒 Lịch trình thực hiện (4 Tiếng),README.md,376,73,"- **Giai đoạn 1 (45'):** Thiết kế Golden Dataset & Script SDG. Tạo ra ít nhất 50 test cases chất lượng. - **Giai đoạn 2 (90'):** Phát triển Eval Engine (RAGAS, Custom Judge) & Asyn"
readme_chunk_003,readme,1. Retrieval & SDG (Nhóm Data),README.md,233,45,"- **Retrieval Eval:** Tính toán Hit Rate và MRR cho Vector DB. Bạn phải chứng minh được Retrieval stage hoạt động tốt trước khi đánh giá Generation. - **SDG:** Tạo 50+ cases, bao g"
readme_chunk_004,readme,2. Multi-Judge Consensus Engine (Nhóm AI/Backend),README.md,162,31,- **Consensus logic:** Sử dụng ít nhất 2 model Judge khác nhau.  - **Calibration:** Tính toán hệ số đồng thuận (Agreement Rate) và xử lý xung đột điểm số tự động.
readme_chunk_005,readme,3. Regression Release Gate (Nhóm DevOps/Analyst),README.md,207,37,"- **Delta Analysis:** So sánh kết quả của Agent phiên bản mới với phiên bản cũ. - **Auto-Gate:** Viết logic tự động quyết định ""Release"" hoặc ""Rollback"" dựa trên các chỉ số Chất lư"
readme_chunk_006,readme,📤 Danh mục nộp bài (Submission Checklist),README.md,399,54,Nhóm nộp 1 đường dẫn Repository (GitHub/GitLab) chứa: 1. [ ] **Source Code**: Toàn bộ mã nguồn hoàn chỉnh. 2. [ ] **Reports**: File `reports/summary.json` và `reports/benchmark_res
readme_chunk_007,readme,✅ Đánh giá Retrieval (15%),README.md,152,32,Nhóm nào chỉ đánh giá câu trả lời mà bỏ qua bước Retrieval sẽ không thể đạt điểm tối đa. Bạn cần biết chính xác chunk nào đang gây ra lỗi Hallucination.
readme_chunk_008,readme,✅ Multi-Judge Reliability (20%),README.md,194,42,Việc chỉ tin vào một Judge (ví dụ GPT-4o) là một sai lầm trong sản phẩm thực tế. Hãy chứng minh hệ thống của bạn khách quan bằng cách so sánh nhiều Judge model và tính toán độ tin 
readme_chunk_009,readme,✅ Tối ưu hiệu năng & Chi phí (15%),README.md,170,37,"Hệ thống Expert phải chạy cực nhanh (Async) và phải có báo cáo chi tiết về ""Giá tiền cho mỗi lần Eval"". Hãy đề xuất cách giảm 30% chi phí eval mà không giảm độ chính xác."
readme_chunk_010,readme,✅ Phân tích nguyên nhân gốc rễ (Root Cause) (20%),README.md,116,20,"Báo cáo 5 Whys phải chỉ ra được lỗi nằm ở đâu: Ingestion pipeline, Chunking strategy, Retrieval, hay Prompting.  ---"
