case_id,question,expected_answer,difficulty,type,challenge_tag,unanswerable,expected_retrieval_ids,source_documents,source_paths,context
golden_case_001,Hệ thống đánh giá tự động có nhiệm vụ gì?,Hệ thống đánh giá tự động có nhiệm vụ chứng minh bằng con số cụ thể: Agent đang tốt ở đâu và tệ ở đâu.,easy,fact-check,mission,False,readme_chunk_001,readme,README.md,"""Nếu bạn không thể đo lường nó, bạn không thể cải thiện nó."" — Nhiệm vụ của nhóm bạn là xây dựng một **Hệ thống đánh giá tự động** chuyên nghiệp để benchmark AI Agent. Hệ thống này phải chứng minh được bằng con số cụ thể: Agent đang tốt ở đâu và tệ ở đâu.

---"
golden_case_002,Giai đoạn nào trong lịch trình thực hiện dành nhiều thời gian nhất?,Giai đoạn 2 (90') dành nhiều thời gian nhất.,medium,comparison,time_allocation,False,readme_chunk_002,readme,README.md,"- **Giai đoạn 1 (45'):** Thiết kế Golden Dataset & Script SDG. Tạo ra ít nhất 50 test cases chất lượng.
- **Giai đoạn 2 (90'):** Phát triển Eval Engine (RAGAS, Custom Judge) & Async Runner.
- **Giai đoạn 3 (60'):** Chạy Benchmark, Phân cụm lỗi (Failure Clustering) & Phân tích ""5 Whys"".
- **Giai đoạn 4 (45'):** Tối ưu Agent dựa trên kết quả & Hoàn thiện báo cáo nộp bài.

---"
golden_case_003,Tại sao cần tính toán Hit Rate và MRR trong giai đoạn Retrieval?,Cần tính toán Hit Rate và MRR để chứng minh rằng Retrieval stage hoạt động tốt trước khi đánh giá Generation.,medium,reasoning,retrieval_importance,False,readme_chunk_003,readme,README.md,"- **Retrieval Eval:** Tính toán Hit Rate và MRR cho Vector DB. Bạn phải chứng minh được Retrieval stage hoạt động tốt trước khi đánh giá Generation.
- **SDG:** Tạo 50+ cases, bao gồm cả Ground Truth IDs của tài liệu để tính Hit Rate."
golden_case_004,Có bao nhiêu giai đoạn trong lịch trình thực hiện?,Có 4 giai đoạn trong lịch trình thực hiện.,easy,fact-check,stages_count,False,readme_chunk_002,readme,README.md,"- **Giai đoạn 1 (45'):** Thiết kế Golden Dataset & Script SDG. Tạo ra ít nhất 50 test cases chất lượng.
- **Giai đoạn 2 (90'):** Phát triển Eval Engine (RAGAS, Custom Judge) & Async Runner.
- **Giai đoạn 3 (60'):** Chạy Benchmark, Phân cụm lỗi (Failure Clustering) & Phân tích ""5 Whys"".
- **Giai đoạn 4 (45'):** Tối ưu Agent dựa trên kết quả & Hoàn thiện báo cáo nộp bài.

---"
golden_case_005,Giai đoạn nào liên quan đến việc tối ưu Agent?,Giai đoạn 4 liên quan đến việc tối ưu Agent dựa trên kết quả.,medium,fact-check,optimization_stage,False,readme_chunk_002,readme,README.md,"- **Giai đoạn 1 (45'):** Thiết kế Golden Dataset & Script SDG. Tạo ra ít nhất 50 test cases chất lượng.
- **Giai đoạn 2 (90'):** Phát triển Eval Engine (RAGAS, Custom Judge) & Async Runner.
- **Giai đoạn 3 (60'):** Chạy Benchmark, Phân cụm lỗi (Failure Clustering) & Phân tích ""5 Whys"".
- **Giai đoạn 4 (45'):** Tối ưu Agent dựa trên kết quả & Hoàn thiện báo cáo nộp bài.

---"
golden_case_006,"Nếu một Agent không thể đo lường hiệu suất của nó, điều gì sẽ xảy ra?","Nếu không thể đo lường, bạn không thể cải thiện nó.",hard,reasoning,measurement_importance,False,readme_chunk_001,readme,README.md,"""Nếu bạn không thể đo lường nó, bạn không thể cải thiện nó."" — Nhiệm vụ của nhóm bạn là xây dựng một **Hệ thống đánh giá tự động** chuyên nghiệp để benchmark AI Agent. Hệ thống này phải chứng minh được bằng con số cụ thể: Agent đang tốt ở đâu và tệ ở đâu.

---"
golden_case_007,Tại sao cần tạo ra ít nhất 50 test cases chất lượng?,Cần tạo ra ít nhất 50 test cases chất lượng để đủ dữ liệu cho việc đánh giá hiệu suất của AI Agent.,medium,reasoning,test_case_quantity,False,readme_chunk_002,readme,README.md,"- **Giai đoạn 1 (45'):** Thiết kế Golden Dataset & Script SDG. Tạo ra ít nhất 50 test cases chất lượng.
- **Giai đoạn 2 (90'):** Phát triển Eval Engine (RAGAS, Custom Judge) & Async Runner.
- **Giai đoạn 3 (60'):** Chạy Benchmark, Phân cụm lỗi (Failure Clustering) & Phân tích ""5 Whys"".
- **Giai đoạn 4 (45'):** Tối ưu Agent dựa trên kết quả & Hoàn thiện báo cáo nộp bài.

---"
golden_case_008,Logic đồng thuận trong Nhóm AI/Backend sử dụng bao nhiêu mô hình Judge khác nhau?,Sử dụng ít nhất 2 model Judge khác nhau.,easy,fact-check,consensus_logic,False,readme_chunk_004,readme,README.md,"- **Consensus logic:** Sử dụng ít nhất 2 model Judge khác nhau. 
- **Calibration:** Tính toán hệ số đồng thuận (Agreement Rate) và xử lý xung đột điểm số tự động."
golden_case_009,So sánh giữa phiên bản Agent mới và cũ được thực hiện như thế nào trong Nhóm DevOps/Analyst?,So sánh kết quả của Agent phiên bản mới với phiên bản cũ thông qua phân tích Delta.,medium,comparison,delta_analysis,False,readme_chunk_005,readme,README.md,"- **Delta Analysis:** So sánh kết quả của Agent phiên bản mới với phiên bản cũ.
- **Auto-Gate:** Viết logic tự động quyết định ""Release"" hoặc ""Rollback"" dựa trên các chỉ số Chất lượng/Chi phí/Hiệu năng.

---"
golden_case_010,Quy trình nào được sử dụng để quyết định 'Release' hoặc 'Rollback' trong Nhóm DevOps/Analyst?,Viết logic tự động quyết định 'Release' hoặc 'Rollback' dựa trên các chỉ số Chất lượng/Chi phí/Hiệu năng.,medium,process,auto_gate,False,readme_chunk_005,readme,README.md,"- **Delta Analysis:** So sánh kết quả của Agent phiên bản mới với phiên bản cũ.
- **Auto-Gate:** Viết logic tự động quyết định ""Release"" hoặc ""Rollback"" dựa trên các chỉ số Chất lượng/Chi phí/Hiệu năng.

---"
